id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau
1018,28.667807,13.837841,0.709182,0.000006,1.445970,23,0.718631,0.000066,0.015728
1027,26.417545,13.768348,0.699775,0.000006,1.454491,21,0.707262,0.000048,0.013915
1035,25.825550,13.845762,0.753201,0.000010,1.536572,20,0.763377,0.000092,0.016460
1039,24.870386,13.852393,0.724146,0.000012,1.496184,19,0.733582,0.000102,0.018730
1042,24.113050,13.875095,0.693527,0.000008,1.461251,18,0.699945,0.000061,0.015981
1045,23.010405,13.849402,0.627394,0.000021,1.247200,17,0.635297,0.000170,0.032334
1048,22.154564,13.892293,0.706667,0.000013,1.518408,16,0.712867,0.000089,0.018578
1052,21.162769,13.925956,0.803654,0.000024,1.663240,15,0.810603,0.000150,0.018663
1055,20.459923,13.975612,0.668906,0.000024,1.425470,14,0.673755,0.000154,0.027349
1057,17.528599,13.955364,0.800223,0.000074,1.429997,11,0.805306,0.000351,0.028887
1063,16.026207,13.877449,0.800265,0.000183,1.553763,10,0.805101,0.000679,0.040171
1064,15.011822,13.829123,0.644669,0.000276,1.250575,9,0.644037,0.000894,0.071937
1065,13.902101,14.072886,0.810965,0.000306,1.435865,7,0.806488,0.000933,0.046898
1070,12.007714,14.062148,0.814584,0.002653,1.658844,6,0.798084,0.003625,0.093999
1072,10.957938,14.422550,0.828728,0.007086,1.687684,3,0.831615,0.005586,0.107213
1073,10.495008,14.610084,0.750836,0.012835,1.452461,2,0.762771,0.006417,0.136201
