id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise
18,13.521824,14.017746,0.259799,0.000030,0.488013,7,0.250987,0.000044,0.105788,0.121312
19,11.331111,14.037188,0.215634,0.000325,0.352848,6,0.214469,0.000305,0.377394,2.187289
21,13.758544,14.059962,0.263457,0.000023,0.497696,7,0.254689,0.000036,0.092612,0.037967
22,13.510773,14.106654,0.262335,0.000025,0.483356,7,0.252965,0.000038,0.096533,0.098868
23,13.304984,14.013179,0.244438,0.000030,0.457715,7,0.236646,0.000042,0.115823,0.009321
24,11.995505,14.008705,0.292361,0.000241,0.470545,6,0.283524,0.000325,0.223238,2.640736
25,10.655220,14.368514,0.240766,0.000916,0.376623,4,0.243425,0.000702,0.441970,3.830734
26,13.746264,14.080563,0.274200,0.000024,0.511864,7,0.264958,0.000038,0.088179,0.078447
27,10.967919,14.217779,0.287899,0.000677,0.421959,5,0.283097,0.000588,0.300306,3.729406
29,10.753701,14.331916,0.281935,0.000814,0.401570,5,0.275742,0.000625,0.326044,3.938607
30,12.674253,14.257452,0.288710,0.000092,0.497178,7,0.278457,0.000143,0.153673,1.508271
31,13.014578,14.003609,0.215830,0.000029,0.385514,7,0.207683,0.000035,0.137151,0.297533
0,10.247048,14.748138,0.268618,0.001890,0.390315,4,0.286469,0.001302,0.432861,5.327573
2,13.219420,13.915125,0.244927,0.000062,0.445699,7,0.244092,0.000110,0.175847,0.919608
3,13.947033,13.899824,0.267290,0.000041,0.510261,8,0.264271,0.000083,0.130210,0.771677
4,14.565368,13.995465,0.272609,0.000018,0.528888,8,0.266587,0.000036,0.083835,0.186929
5,13.174885,13.911954,0.278860,0.000087,0.483711,7,0.275094,0.000164,0.169064,1.619467
6,13.817258,13.922345,0.241650,0.000030,0.450971,8,0.239533,0.000056,0.130679,0.406390
7,13.217909,13.911675,0.270382,0.000077,0.477541,7,0.267943,0.000143,0.166094,1.284886
8,14.504198,13.989935,0.292168,0.000028,0.588757,8,0.285198,0.000061,0.095860,0.656211
9,11.727098,13.976765,0.259504,0.000276,0.406094,6,0.261538,0.000378,0.282823,2.586022
10,13.798432,13.960407,0.298427,0.000058,0.548181,8,0.292264,0.000125,0.130530,1.321633
11,14.509454,14.016535,0.286188,0.000022,0.562102,8,0.278068,0.000044,0.085816,0.440831
12,14.280792,14.003779,0.293814,0.000031,0.572727,8,0.285965,0.000067,0.099859,0.788691
13,14.364883,13.958908,0.287160,0.000032,0.559389,8,0.281623,0.000067,0.103474,0.687073
14,13.818056,14.131469,0.259973,0.000028,0.474270,8,0.251622,0.000054,0.115499,0.680174
15,14.333437,13.956521,0.271031,0.000025,0.532685,8,0.266029,0.000051,0.100715,0.399683
16,12.757030,13.864845,0.225424,0.000084,0.396426,7,0.226899,0.000137,0.226706,1.051807
17,14.049462,13.920151,0.233314,0.000017,0.419823,8,0.229447,0.000028,0.101170,0.134736
18,14.311503,13.954557,0.256518,0.000020,0.488013,8,0.251763,0.000036,0.094804,0.136099
19,11.870774,13.891584,0.215142,0.000188,0.352848,7,0.219236,0.000255,0.330525,1.806509
21,14.551132,13.998649,0.260273,0.000016,0.497696,8,0.254419,0.000029,0.082965,0.007376
22,14.280378,14.037597,0.258927,0.000017,0.483356,8,0.250945,0.000031,0.087858,0.136650
23,14.102167,13.950744,0.241397,0.000019,0.457715,8,0.238619,0.000034,0.102451,0.015809
24,12.628802,13.892694,0.289110,0.000154,0.470545,7,0.283933,0.000277,0.205898,2.406679
25,11.039859,14.184964,0.241872,0.000536,0.376623,5,0.247779,0.000587,0.390764,3.186650
26,14.532377,14.017406,0.270909,0.000016,0.511864,8,0.263800,0.000031,0.079806,0.114699
27,11.440034,14.051845,0.285885,0.000394,0.421959,6,0.284529,0.000502,0.275032,3.375021
29,11.179666,14.154247,0.279279,0.000467,0.401570,6,0.275803,0.000532,0.301171,3.646176
30,13.400230,14.169417,0.285076,0.000061,0.497178,8,0.276488,0.000121,0.143432,1.413051
31,13.768693,13.927737,0.212468,0.000018,0.385514,8,0.208950,0.000028,0.120415,0.239643
0,10.497970,14.555298,0.275443,0.001193,0.390315,5,0.275996,0.001100,0.429319,4.982851
2,14.009147,13.850718,0.244649,0.000041,0.445699,8,0.241826,0.000094,0.165794,0.837569
3,14.785848,13.852509,0.266342,0.000028,0.510261,9,0.261512,0.000071,0.123202,0.722899
4,15.428250,13.956536,0.270661,0.000012,0.528888,9,0.262492,0.000030,0.078963,0.207091
5,13.938416,13.840334,0.277667,0.000059,0.483711,8,0.270074,0.000142,0.162875,1.510985
6,14.664498,13.876649,0.240946,0.000020,0.450971,9,0.237648,0.000048,0.122151,0.386749
7,13.995464,13.844028,0.269595,0.000052,0.477541,8,0.264702,0.000123,0.158130,1.183879
8,15.356211,13.947959,0.290071,0.000020,0.588757,9,0.280664,0.000052,0.091537,0.636332
9,12.311564,13.846861,0.260226,0.000178,0.406094,7,0.257096,0.000324,0.271111,2.343565
10,14.605769,13.903722,0.296590,0.000041,0.548181,9,0.286995,0.000108,0.125979,1.250606
11,15.343904,13.969981,0.283669,0.000015,0.562102,9,0.273402,0.000037,0.081602,0.444250
12,15.114651,13.956132,0.291449,0.000022,0.572727,9,0.280936,0.000057,0.095805,0.764282
14,14.612889,14.070642,0.257294,0.000020,0.474270,9,0.246537,0.000045,0.110579,0.667523
15,15.195863,13.916810,0.269438,0.000017,0.532685,9,0.262811,0.000043,0.095031,0.392751
16,13.492633,13.783147,0.225935,0.000055,0.396426,8,0.225436,0.000117,0.212245,0.933795
17,14.912966,13.879896,0.231921,0.000011,0.419823,9,0.226866,0.000023,0.093490,0.088532
18,15.177754,13.915844,0.254923,0.000013,0.488013,9,0.248873,0.000030,0.088564,0.156200
19,12.470375,13.767909,0.216616,0.000121,0.352848,8,0.217606,0.000217,0.309471,1.568833
21,15.412216,13.959220,0.258319,0.000011,0.497696,9,0.250917,0.000024,0.077295,0.047177
22,15.087818,13.983009,0.256276,0.000012,0.483356,9,0.246465,0.000025,0.082674,0.168187
23,14.977822,13.913923,0.240435,0.000013,0.457715,9,0.236860,0.000028,0.094700,0.043602
24,13.318184,13.798031,0.287468,0.000106,0.470545,8,0.277453,0.000240,0.200511,2.266838
25,11.493262,14.018585,0.244056,0.000339,0.376623,6,0.242809,0.000496,0.374607,2.807191
26,15.372469,13.972325,0.268586,0.000011,0.511864,9,0.259784,0.000026,0.074831,0.146872
27,11.982410,13.908336,0.285396,0.000252,0.421959,7,0.276745,0.000432,0.269768,3.178836
29,11.680470,13.997624,0.277980,0.000293,0.401570,7,0.266893,0.000456,0.297905,3.472581
30,14.166669,14.098387,0.282425,0.000043,0.497178,9,0.270184,0.000104,0.139310,1.348674
31,14.622846,13.883686,0.211149,0.000011,0.385514,9,0.206922,0.000022,0.110598,0.185883
0,10.829451,14.364056,0.275645,0.000758,0.390315,6,0.270098,0.000957,0.418571,4.701610
2,14.821930,13.797093,0.243845,0.000029,0.445699,9,0.238630,0.000083,0.159390,0.811336
